address,tagname,description,SCADA_tagname,type,source
420.08,STER_CIP_CS5,"""START STEAM""",['STER_CIP_CS5'],BOOL,BOTH
420.10,STER_CIP_CS6,"""PRE-RINSE DONE""",['STER_CIP_CS6'],BOOL,BOTH
420.12,STER_CIP_CS7,"""RINSE RECIRCULATION""",['STER_CIP_CS7'],BOOL,BOTH
420.14,STER_CIP_CS8,"""EMPTY BALANCE TANK""",['STER_CIP_CS8'],BOOL,BOTH
421.00,STER_CIP_CS9,"""FLUSH TO DRAIN""",['STER_CIP_CS9'],BOOL,BOTH
421.02,STER_CIP_CS10,"""RECIRCULATION""",['STER_CIP_CS10'],BOOL,BOTH
421.04,STER_CIP_CS11,"""RECIRCULATION DONE""",['STER_CIP_CS11'],BOOL,BOTH
421.06,STER_CIP_CS12,"""DETERGENT WASH""",['STER_CIP_CS12'],BOOL,BOTH
421.08,STER_CIP_CS13,"""EMPTY BALANCE TANK""",['STER_CIP_CS13'],BOOL,BOTH
421.10,STER_CIP_CS14,"""RINSE #2""",['STER_CIP_CS14'],BOOL,BOTH
421.12,STER_CIP_CS15,"""RECIRCULATION""",['STER_CIP_CS15'],BOOL,BOTH
421.14,STER_CIP_CS16,"""EMPTY BALANCE TANK""",['STER_CIP_CS16'],BOOL,BOTH
422.00,STER_CIP_CS17,"""FLUSH TO DRAIN""",['STER_CIP_CS17'],BOOL,BOTH
422.02,STER_CIP_CS18,"""RECIRCULATION""",['STER_CIP_CS18'],BOOL,BOTH
422.04,STER_CIP_CS19,"""ADVANCE""",['STER_CIP_CS19'],BOOL,BOTH
422.06,STER_CIP_CS20,"""ACID WASH""",['STER_CIP_CS20'],BOOL,BOTH
422.08,STER_CIP_CS21,"""EMPTY BALANCE TANK""",['STER_CIP_CS21'],BOOL,BOTH
422.10,STER_CIP_CS22,"""RINSE #3""",['STER_CIP_CS22'],BOOL,BOTH
422.12,STER_CIP_CS23,"""RECIRCULATION""","['STER_CIP_CS23', 'STER_CIP_SQT_CIPSTOP_TRIGGER']",BOOL,BOTH
422.14,STER_CIP_CS24,"""EMPTY BALANCE TANK""","['STER_CIP_CS24', 'STER_CIP_STEP_CS24']",BOOL,BOTH
423.00,STER_CIP_CS25,"""STOP FEED""",['STER_CIP_CS25'],BOOL,BOTH
423.02,STER_CIP_CS26,"""CIP DONE""","['STER_CIP_CS26', 'STER_CIP_STEP_CS25']",BOOL,BOTH
423.11,STER_SHORT_CIP_REMINDER,""">3Hrs from CIP to Startup - DO SHORT CIP""",['STER_SHORT_CIP_REMINDER'],BOOL,BOTH
424.02,STERILE_TK_5,"""Sterile TK > 5%""",[],BOOL,PLC
424.03,STERILE_TK_30,"""Sterile TK < 30%""",[],BOOL,PLC
424.04,B_T_6,"""B.T. < 6%""",[],BOOL,PLC
