address,real_address,prefix,number,tagname,description,tag_type,source,alias,parent,SCADA_tagname
H0.10,H0.10,H,0.10,EXT_1TRNSFR1CMPLT,"""Extractor 1 Transfer Complete (OMR H0.10)""",BOOL,BOTH,EXT_H_array[0].10,,['EXT_1_1_FINISH_TRAN_DI']
H0.11,H0.11,H,0.11,EXT_1FILL2STRT,"""Extractor 1 2nd Cook Fill (OMR H0.11)""",BOOL,BOTH,EXT_H_array[0].11,,['EXT_1_2_ACTIVE_FILL_DI']
H0.12,H0.12,H,0.12,EXT_1FILL2CMPLT,"""Extractor 1 2nd Cook Fill Complete (OMR H0.12)""",BOOL,BOTH,EXT_H_array[0].12,,['EXT_1_2_FINISH_FILL_DI']
H0.13,H0.13,H,0.13,EXT_1HEAT2STRT,"""Extractor 1 Start Heat Up #2 (OMR H0.13)""",BOOL,BOTH,EXT_H_array[0].13,,"['EXT_1_2_ACTIVE_HU_DI', 'EXT_1_2_ACTIVE_HU_DI_1', 'EXT_1_2_ACTIVE_HU_DI_2']"
H0.14,H0.14,H,0.14,EXT_1HEAT2CMPLT,"""Extractor 1 2nd Cook Heat Up Complete (OMR H0.14)""",BOOL,BOTH,EXT_H_array[0].14,,"['EXT_1_2_FINISH_HU_DI', 'EXT_1_2_FINISH_HU_DI_1']"
H0.15,H0.15,H,0.15,EXT_1COOK2CMPLT,"""Extractor 1 2nd Cook Complete (OMR H0.15)""",BOOL,BOTH,EXT_H_array[0].15,,['EXT_1_2_FINISH_COOK_DI']
H1,H1,H,1,EXT_ADDR_H1,""" (OMR H1)""",DINT,PLC,EXT_H_array[1],,[]
H1.00,H1.00,H,1.00,EXT_1DROP2STRT,"""Extractor 1 2nd Cook Drop (OMR H1.00)""",BOOL,BOTH,EXT_H_array[1].00,,['EXT_1_2_ACTIVE_DROP_DI']
H1.01,H1.01,H,1.01,EXT_1DROP2CMPLT,"""Extractor 1 Cook 2 Drop Complete (OMR H1.01)""",BOOL,BOTH,EXT_H_array[1].01,,"['EXT_1_2_FINISH_DROP_DI', 'EXT_1_2_FINISH_DROP_DI_1']"
H1.02,H1.02,H,1.02,EXT_1SETL2CMPLT,"""Extractor 1 2nd Cook Settling Time Complete (OMR H1.02)""",BOOL,BOTH,EXT_H_array[1].02,,['EXT_1_2_FINISH_SET_DI']
H1.03,H1.03,H,1.03,EXT_1TRNSFR2STRT,"""Extractor 1 2nd Cook Transfer (OMR H1.03)""",BOOL,BOTH,EXT_H_array[1].03,,['EXT_1_2_ACTIVE_TRAN_DI']
H1.04,H1.04,H,1.04,EXT_1TRNSFR2CMPLT,"""Extractor 1 Transfer Complete (OMR H1.04)""",BOOL,BOTH,EXT_H_array[1].04,,['EXT_1_2_FINISH_TRAN_DI']
H1.05,H1.05,H,1.05,EXT_1FILL3STRT,"""Extractor 1 3rd Cook Fill Start (OMR H1.05)""",BOOL,BOTH,EXT_H_array[1].05,,['EXT_1_3_ACTIVE_FILL_DI']
H1.06,H1.06,H,1.06,EXT_1HEAT3STRT,"""Extractor 1 Start Heat Up #3 (OMR H1.06)""",BOOL,BOTH,EXT_H_array[1].06,,"['EXT_1_3_ACTIVE_HU_DI', 'EXT_1_3_ACTIVE_HU_DI_1', 'EXT_1_3_ACTIVE_HU_DI_2']"
H1.07,H1.07,H,1.07,EXT_1HEAT3CMPLT,"""  (OMR H1.07)""",BOOL,BOTH,EXT_H_array[1].07,,"['EXT_1_3_FINISH_HU_DI', 'EXT_1_3_FINISH_HU_DI_1']"
H1.08,H1.08,H,1.08,EXT_1COOK3CMPLT,"""  (OMR H1.08)""",BOOL,BOTH,EXT_H_array[1].08,,['EXT_1_3_FINISH_COOK_DI']
H1.09,H1.09,H,1.09,EXT_1DROP3STRT,"""  (OMR H1.09)""",BOOL,BOTH,EXT_H_array[1].09,,['EXT_1_3_ACTIVE_DROP_DI']
H1.10,H1.10,H,1.10,EXT_1DROP3CMPLT,"""  (OMR H1.10)""",BOOL,BOTH,EXT_H_array[1].10,,"['EXT_1_3_FINISH_DROP_DI', 'EXT_1_3_FINISH_DROP_DI_1']"
H1.11,H1.11,H,1.11,EXT_1SETL3CMPLT,"""  (OMR H1.11)""",BOOL,BOTH,EXT_H_array[1].11,,['EXT_1_3_FINISH_SET_DI']
H1.12,H1.12,H,1.12,EXT_1TRNSFR3STRT,"""  (OMR H1.12)""",BOOL,BOTH,EXT_H_array[1].12,,['EXT_1_3_ACTIVE_TRAN_DI']
H1.13,H1.13,H,1.13,EXT_1TRNSFR3CMPLT,"""  (OMR H1.13)""",BOOL,BOTH,EXT_H_array[1].13,,['EXT_1_3_FINISH_TRAN_DI']
H1.14,H1.14,H,1.14,EXT_1WF4STRT,"""  (OMR H1.14)""",BOOL,BOTH,EXT_H_array[1].14,,['EXT_1_4_ACTIVE_WF_FILL_DI']
H1.15,H1.15,H,1.15,EXT_1WFADDCMPLT,"""Extractor 1 Water Fraction Add Complete (OMR H1.15)""",BOOL,BOTH,EXT_H_array[1].15,,['EXT_1_4_FINISH_WF_FILL_DI']
H2,H2,H,2,EXT_ADDR_H2,""" (OMR H2)""",DINT,PLC,EXT_H_array[2],,[]
H2.00,H2.00,H,2.00,EXT_1FILL4STRT,"""  (OMR H2.00)""",BOOL,BOTH,EXT_H_array[2].00,,['EXT_1_4_ACTIVE_FILL_DI']
H2.01,H2.01,H,2.01,EXT_1FILL4CMPLT,"""  (OMR H2.01)""",BOOL,BOTH,EXT_H_array[2].01,,['EXT_1_4_FINISH_FILL_DI']
H2.02,H2.02,H,2.02,EXT_1HEAT4STRT,"""Extractor 1 Start Heat Up #4  (OMR H2.02)""",BOOL,BOTH,EXT_H_array[2].02,,"['EXT_1_4_ACTIVE_HU_DI', 'EXT_1_4_ACTIVE_HU_DI_1', 'EXT_1_4_ACTIVE_HU_DI_2']"
H2.03,H2.03,H,2.03,EXT_1HEAT4CMPLT,"""  (OMR H2.03)""",BOOL,BOTH,EXT_H_array[2].03,,"['EXT_1_4_FINISH_HU_DI', 'EXT_1_4_FINISH_HU_DI_1']"
H2.04,H2.04,H,2.04,EXT_1COOK4CMPLT,"""  (OMR H2.04)""",BOOL,BOTH,EXT_H_array[2].04,,['EXT_1_4_FINISH_COOK_DI']
H2.05,H2.05,H,2.05,EXT_1DROP4STRT,"""  (OMR H2.05)""",BOOL,BOTH,EXT_H_array[2].05,,"['EXT_1_4_ACTIVE_DROP_DI', 'EXT1_DROP4_START']"
H2.06,H2.06,H,2.06,EXT_1DROP4CMPLT,"""  (OMR H2.06)""",BOOL,BOTH,EXT_H_array[2].06,,"['EXT_1_4_FINISH_DROP_DI', 'EXT_1_4_FINISH_DROP_DI_1', 'EXT_BATCH_RESET_1_DI']"
H2.07,H2.07,H,2.07,EXT_1SETL4CMPLT,"""  (OMR H2.07)""",BOOL,BOTH,EXT_H_array[2].07,,['EXT_1_4_FINISH_SET_DI']
H2.08,H2.08,H,2.08,EXT_1TRNSFR4STRT,"""  (OMR H2.08)""",BOOL,BOTH,EXT_H_array[2].08,,['EXT_1_4_ACTIVE_TRAN_DI']
H2.09,H2.09,H,2.09,EXT_1TRNSFR4CMPT,"""  (OMR H2.09)""",BOOL,BOTH,EXT_H_array[2].09,,['EXT_1_4_FINISH_TRAN_DI']
H2.10,H2.10,H,2.10,EXT_1FILL3CMPLT,"""  (OMR H2.10)""",BOOL,BOTH,EXT_H_array[2].10,,['EXT_1_3_FINISH_FILL_DI']
H2.11,H2.11,H,2.11,EXT_1WF3START,"""EXT#1 3rd cook water fraction add start (OMR H2.11)""",BOOL,BOTH,EXT_H_array[2].11,,['EXT_1_3_ACTIVE_WF_FILL_DI']
H2.12,H2.12,H,2.12,EXT_1WF3ADDCMPLT,"""EXT#1 3rd cook water fraction add complete (OMR H2.12)""",BOOL,BOTH,EXT_H_array[2].12,,['EXT_1_3_FINISH_WF_FILL_DI']
H2.13,H2.13,H,2.13,EXT_ADDR_H2.13,""" (OMR H2.13)""",BOOL,PLC,EXT_H_array[2].13,EXT_ADDR_H2,[]
H2.14,H2.14,H,2.14,EXT_ADDR_H2.14,""" (OMR H2.14)""",BOOL,PLC,EXT_H_array[2].14,EXT_ADDR_H2,[]
H2.15,H2.15,H,2.15,EXT_ADDR_H2.15,""" (OMR H2.15)""",BOOL,PLC,EXT_H_array[2].15,EXT_ADDR_H2,[]
H3,H3,H,3,EXT_ADDR_H3,""" (OMR H3)""",DINT,PLC,EXT_H_array[3],,[]
H3.00,H3.00,H,3.00,EXT_2FILL3CMPLT,"""  (OMR H3.00)""",BOOL,BOTH,EXT_H_array[3].00,,['EXT_2_3_FINISH_FILL_DI']
H3.01,H3.01,H,3.01,EXT_2FILL1STRT,"""  (OMR H3.01)""",BOOL,BOTH,EXT_H_array[3].01,,['EXT_2_1_ACTIVE_FILL_DI']
