Type,TAG,NEXT BLK,DESCRIPTION,Full Address,Clean_Address_BCD,Clean_Address,New_Address
DI,N_PRE_PRT1_CHP_IND1,,(NGC)OPEN V1008,OMR_FINS.EXT.H102.7,H102.7,H102.7,EXT_PRT1_CHP_IND1
DI,N_PRE_PRT1_CHP_IND1_DI,,OPEN V1008,OMR_FINS.EXT.H102.7,H102.7,H102.7,EXT_PRT1_CHP_IND1
DI,N_PRE_PRT1_DRAIN_IND,,(NGC)PRT1 Drain Indicator,OMR_FINS.EXT.H101.9,H101.9,H101.9,EXT_PRT1_DRAIN_IND
DI,N_PRE_PRT1_DRAIN_IND_DI,,PRT1 Drain Indicator,OMR_FINS.EXT.H101.9,H101.9,H101.9,EXT_PRT1_DRAIN_IND
DI,N_PRE_V4003_HMI_CMD,,(NGC)PRT4 Spray Ball Cold Water Valve  H,OMR_FINS.EXT.H504.4,H504.4,H504.4,EXT_V4003_HMI_CMD
DI,N_PRE_PRT1_DRAIN_REQ,,(NGC)PRT1 Drain Request,OMR_FINS.EXT.H101.8,H101.8,H101.8,EXT_PRT1_DRAIN_REQ
DI,N_PRE_PRT1_DRAIN_REQ_DI,,PRT1 Drain Request,OMR_FINS.EXT.H101.8,H101.8,H101.8,EXT_PRT1_DRAIN_REQ
DI,N_PRE_PRT1_DROP_EXT_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H101.4,H101.4,H101.4,EXT_PRT1_DROP_EXT_AUTO
DI,N_PRE_PRT1_DROP_EXT_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H101.4,H101.4,H101.4,EXT_PRT1_DROP_EXT_AUTO
DI,N_PRE_PRT1_DROP_EXT_STOP,,(NGC)Sequence Stop,OMR_FINS.EXT.H101.12,H101.12,H101.12,EXT_PRT1_DROP_EXT_STOP
DI,N_PRE_PRT1_DROP_EXT_STOP_DI,,Sequence Stop,OMR_FINS.EXT.H101.12,H101.12,H101.12,EXT_PRT1_DROP_EXT_STOP
DI,N_PRE_PRT1_DROP_STOP,,(NGC)Sequence Stop,OMR_FINS.EXT.H100.2,H100.2,H100.2,EXT_N_PRE_PRT1_DROP_STOP
